episode 1: 0 total reward, 1001 steps, 0 epochs 
episode 180: 2569.193587407225 total reward, 101 steps, 15200 epochs 
episode 181: -1182.3449340419172 total reward, 101 steps, 15301 epochs 
episode 182: 1810.8867527279717 total reward, 100 steps, 15401 epochs 
episode 183: 207.00927188382593 total reward, 80 steps, 15481 epochs 
episode 184: -650.4929883315397 total reward, 96 steps, 15577 epochs 
episode 185: 3822.7329277281538 total reward, 101 steps, 15678 epochs 
episode 186: 3096.7583625921097 total reward, 101 steps, 15779 epochs 
episode 187: 2800.587517946741 total reward, 101 steps, 15880 epochs 
episode 188: 2894.6128521449746 total reward, 101 steps, 15981 epochs 
episode 189: 164.29184753223177 total reward, 99 steps, 16080 epochs 
episode 190: 479.1043506178274 total reward, 101 steps, 16181 epochs 
episode 191: 2453.823267526105 total reward, 101 steps, 16282 epochs 
episode 192: 2663.6523036553144 total reward, 101 steps, 16383 epochs 
episode 193: 2595.3955243260457 total reward, 101 steps, 16484 epochs 
episode 194: 3296.317553950491 total reward, 101 steps, 16585 epochs 
episode 195: 3225.795616690257 total reward, 101 steps, 16686 epochs 
episode 196: 3106.2457241717693 total reward, 101 steps, 16787 epochs 
episode 197: 1856.3489795002388 total reward, 101 steps, 16888 epochs 
episode 198: 3185.2152330097265 total reward, 101 steps, 16989 epochs 
episode 199: 1948.0988638521808 total reward, 101 steps, 17090 epochs 
episode 200: 558.5921265959578 total reward, 101 steps, 17191 epochs 
episode 201: 1382.1623180761949 total reward, 101 steps, 17292 epochs 
episode 202: 3499.5983904045756 total reward, 101 steps, 17393 epochs 
episode 203: 3854.8003782282576 total reward, 101 steps, 17494 epochs 
episode 204: 4121.8416113974645 total reward, 101 steps, 17595 epochs 
episode 205: 4350.348956007342 total reward, 101 steps, 17696 epochs 
episode 206: 3187.8527430275176 total reward, 101 steps, 17797 epochs 
episode 207: 3603.0988193541143 total reward, 101 steps, 17898 epochs 
episode 208: 3757.381461985624 total reward, 101 steps, 17999 epochs 
episode 209: 3792.8630412419943 total reward, 101 steps, 18100 epochs 
episode 210: 1810.2104523441944 total reward, 101 steps, 18201 epochs 
episode 211: 504.6075907452342 total reward, 101 steps, 18302 epochs 
episode 212: 3908.0984973638992 total reward, 101 steps, 18403 epochs 
episode 213: 4378.075484432952 total reward, 101 steps, 18504 epochs 
episode 214: 4111.428532234455 total reward, 101 steps, 18605 epochs 
episode 215: 4020.2230941081516 total reward, 101 steps, 18706 epochs 
episode 216: 3802.246592404428 total reward, 101 steps, 18807 epochs 
episode 217: 260.73329887459096 total reward, 101 steps, 18908 epochs 
episode 218: -390.4651705367611 total reward, 100 steps, 19008 epochs 
episode 219: 77.67338878624122 total reward, 50 steps, 19058 epochs 
episode 220: 2.9164553365430947 total reward, 50 steps, 19108 epochs 
episode 221: 3365.9520743966486 total reward, 101 steps, 19209 epochs 
episode 222: 2765.8458536727167 total reward, 101 steps, 19310 epochs 
episode 223: 4348.918784047677 total reward, 101 steps, 19411 epochs 
episode 224: 5305.189238376433 total reward, 101 steps, 19512 epochs 
episode 225: 4546.412134075219 total reward, 101 steps, 19613 epochs 
episode 226: 2957.3797539905454 total reward, 101 steps, 19714 epochs 
episode 227: 3973.716220399911 total reward, 101 steps, 19815 epochs 
episode 228: 3987.415979670183 total reward, 101 steps, 19916 epochs 
episode 229: 2895.750151802138 total reward, 101 steps, 20017 epochs 
episode 230: 2718.9095078539026 total reward, 101 steps, 20118 epochs 
episode 231: 2854.078279889396 total reward, 101 steps, 20219 epochs 
episode 232: 5700.285109457476 total reward, 101 steps, 20320 epochs 
episode 233: 6141.453182769636 total reward, 101 steps, 20421 epochs 
episode 234: 3786.7028581331306 total reward, 101 steps, 20522 epochs 
episode 235: 3117.1238789896483 total reward, 101 steps, 20623 epochs 
episode 236: 3211.8731692376687 total reward, 101 steps, 20724 epochs 
episode 237: 4172.05861274063 total reward, 101 steps, 20825 epochs 
episode 238: 4067.2548849071773 total reward, 101 steps, 20926 epochs 
episode 239: 3349.527572887741 total reward, 101 steps, 21027 epochs 
episode 240: 2972.2378023833894 total reward, 101 steps, 21128 epochs 
episode 241: 4159.759367065213 total reward, 101 steps, 21229 epochs 
episode 242: 4172.677016089002 total reward, 101 steps, 21330 epochs 
episode 243: 4832.225486577785 total reward, 101 steps, 21431 epochs 
episode 244: 4332.371741714226 total reward, 101 steps, 21532 epochs 
episode 245: 4304.487339713893 total reward, 101 steps, 21633 epochs 
episode 246: 4468.308223825923 total reward, 101 steps, 21734 epochs 
episode 247: 4211.861628465594 total reward, 101 steps, 21835 epochs 
episode 248: 2387.050071006646 total reward, 101 steps, 21936 epochs 
episode 249: 4164.288694080894 total reward, 101 steps, 22037 epochs 
episode 250: 3718.726706823305 total reward, 101 steps, 22138 epochs 
episode 251: 3857.450987060017 total reward, 101 steps, 22239 epochs 
episode 252: 4044.447276449109 total reward, 101 steps, 22340 epochs 
episode 253: 3634.285191575354 total reward, 101 steps, 22441 epochs 
episode 254: 3815.037379132876 total reward, 101 steps, 22542 epochs 
episode 255: 4042.942729415542 total reward, 101 steps, 22643 epochs 
episode 256: 3145.0192562876355 total reward, 101 steps, 22744 epochs 
episode 257: -544.696890544932 total reward, 86 steps, 22830 epochs 
episode 258: 4238.634378886618 total reward, 101 steps, 22931 epochs 
episode 259: 4031.574464098046 total reward, 101 steps, 23032 epochs 
episode 260: 4035.9889821621373 total reward, 101 steps, 23133 epochs 
episode 261: 3669.0511598550747 total reward, 101 steps, 23234 epochs 
episode 262: 3637.378508250242 total reward, 101 steps, 23335 epochs 
episode 263: 3411.6580476690515 total reward, 101 steps, 23436 epochs 
episode 264: 3307.775963094391 total reward, 101 steps, 23537 epochs 
episode 265: 32478.80280006268 total reward, 42 steps, 23579 epochs 
episode 266: 3307.092465946717 total reward, 101 steps, 23680 epochs 
episode 267: 3519.5448938263967 total reward, 101 steps, 23781 epochs 
episode 268: 32291.47426509084 total reward, 42 steps, 23823 epochs 
episode 269: 32856.93464007615 total reward, 47 steps, 23870 epochs 
episode 270: 4024.7564812364703 total reward, 101 steps, 23971 epochs 
episode 271: 4296.241044879516 total reward, 101 steps, 24072 epochs 
episode 272: 3943.782682649146 total reward, 101 steps, 24173 epochs 
episode 273: 32383.075998162996 total reward, 42 steps, 24215 epochs 
episode 274: 3902.4913582961112 total reward, 101 steps, 24316 epochs 
episode 275: 32739.9685921686 total reward, 44 steps, 24360 epochs 
episode 276: 32385.083699210412 total reward, 41 steps, 24401 epochs 
episode 277: 3549.820193587243 total reward, 101 steps, 24502 epochs 
episode 278: 4224.221704626204 total reward, 101 steps, 24603 epochs 
episode 279: 3978.221595945208 total reward, 101 steps, 24704 epochs 
episode 280: 3638.9172100292067 total reward, 101 steps, 24805 epochs 
episode 281: 32450.505563260933 total reward, 42 steps, 24847 epochs 
episode 282: 32062.992326156396 total reward, 39 steps, 24886 epochs 
episode 283: 3771.362237855029 total reward, 101 steps, 24987 epochs 
episode 284: 32294.376692760885 total reward, 43 steps, 25030 epochs 
episode 285: 33406.807570267934 total reward, 50 steps, 25080 epochs 
episode 286: 3675.941289231023 total reward, 101 steps, 25181 epochs 
episode 287: 32446.96394498913 total reward, 42 steps, 25223 epochs 
episode 288: 32953.349701383704 total reward, 46 steps, 25269 epochs 
episode 289: 32763.65284075305 total reward, 44 steps, 25313 epochs 
episode 290: 533.1299822693841 total reward, 101 steps, 25414 epochs 
episode 291: 32291.737500309973 total reward, 45 steps, 25459 epochs 
episode 292: 32500.804404520943 total reward, 43 steps, 25502 epochs 
episode 293: 32896.84749729178 total reward, 49 steps, 25551 epochs 
episode 294: 32885.17947928688 total reward, 46 steps, 25597 epochs 
episode 295: -198.3559704670312 total reward, 78 steps, 25675 epochs 
episode 296: 33199.599591720835 total reward, 54 steps, 25729 epochs 
episode 297: 85.48495290050457 total reward, 101 steps, 25830 epochs 
episode 298: 32651.36596168486 total reward, 48 steps, 25878 epochs 
episode 299: 3749.4712935692646 total reward, 101 steps, 25979 epochs 
episode 300: 4179.25051251668 total reward, 101 steps, 26080 epochs 
episode 301: 51.85034051649933 total reward, 100 steps, 26180 epochs 
episode 302: 3623.7641595677 total reward, 101 steps, 26281 epochs 
episode 303: 33530.12283759724 total reward, 51 steps, 26332 epochs 
episode 304: 32848.75686989077 total reward, 45 steps, 26377 epochs 
episode 305: 2928.7540121832576 total reward, 101 steps, 26478 epochs 
episode 306: 3806.0143531978774 total reward, 101 steps, 26579 epochs 
episode 307: 3461.846784225496 total reward, 101 steps, 26680 epochs 
episode 308: 32699.89070479126 total reward, 48 steps, 26728 epochs 
episode 309: 33185.95412685108 total reward, 48 steps, 26776 epochs 
episode 310: 4308.175352196034 total reward, 101 steps, 26877 epochs 
episode 311: 3194.4245352335215 total reward, 101 steps, 26978 epochs 
episode 312: 3653.486854581713 total reward, 101 steps, 27079 epochs 
episode 313: -150.91086765628145 total reward, 50 steps, 27129 epochs 
episode 314: 3139.607572693276 total reward, 101 steps, 27230 epochs 
episode 315: 3290.2672536716937 total reward, 101 steps, 27331 epochs 
episode 316: 3255.4458263385386 total reward, 101 steps, 27432 epochs 
episode 317: 2966.2699590555735 total reward, 101 steps, 27533 epochs 
episode 318: 2555.470901091923 total reward, 101 steps, 27634 epochs 
episode 319: 2387.7890557599226 total reward, 101 steps, 27735 epochs 
episode 320: 3568.3033657478154 total reward, 101 steps, 27836 epochs 
episode 321: -361.5624900519624 total reward, 82 steps, 27918 epochs 
episode 322: 668.7387786454688 total reward, 89 steps, 28007 epochs 
episode 323: -243.69708831392475 total reward, 50 steps, 28057 epochs 
episode 324: 766.9244148587908 total reward, 101 steps, 28158 epochs 
episode 325: 1049.3491666831167 total reward, 101 steps, 28259 epochs 
episode 326: 574.7486239217902 total reward, 101 steps, 28360 epochs 
episode 327: 2568.16416530612 total reward, 101 steps, 28461 epochs 
episode 328: 2542.989573388036 total reward, 101 steps, 28562 epochs 
episode 329: 460.2272509655473 total reward, 96 steps, 28658 epochs 
episode 330: 1664.1207170832147 total reward, 101 steps, 28759 epochs 
episode 331: 3449.1133277066997 total reward, 101 steps, 28860 epochs 
episode 332: 2913.858972114042 total reward, 101 steps, 28961 epochs 
episode 333: 1203.9193731196979 total reward, 94 steps, 29055 epochs 
episode 334: 2973.489810684838 total reward, 101 steps, 29156 epochs 
episode 335: 3264.79299329782 total reward, 101 steps, 29257 epochs 
episode 336: 2565.0827405832315 total reward, 101 steps, 29358 epochs 
episode 337: 2775.091680374435 total reward, 101 steps, 29459 epochs 
episode 338: 3256.1099130783546 total reward, 101 steps, 29560 epochs 
episode 339: 3967.989602651957 total reward, 101 steps, 29661 epochs 
episode 340: 1544.6880151859093 total reward, 101 steps, 29762 epochs 
episode 341: 2306.0454248327515 total reward, 101 steps, 29863 epochs 
episode 342: -200.79470189335927 total reward, 50 steps, 29913 epochs 
episode 343: 2991.9968397706916 total reward, 101 steps, 30014 epochs 
episode 344: 1915.5402193007321 total reward, 101 steps, 30115 epochs 
episode 345: 1564.5207150592125 total reward, 101 steps, 30216 epochs 
episode 346: 1518.3822408980034 total reward, 101 steps, 30317 epochs 
episode 347: 2481.327855723025 total reward, 101 steps, 30418 epochs 
episode 348: 1972.7403151901715 total reward, 101 steps, 30519 epochs 
episode 349: 1105.0095005429528 total reward, 101 steps, 30620 epochs 
episode 350: -234.21598747395964 total reward, 50 steps, 30670 epochs 
episode 351: 2366.8200763646 total reward, 101 steps, 30771 epochs 
episode 352: 1184.3086979397692 total reward, 101 steps, 30872 epochs 
episode 353: -40.80184769619257 total reward, 100 steps, 30972 epochs 
episode 354: 1423.2698282070842 total reward, 101 steps, 31073 epochs 
episode 355: 119.2570095876739 total reward, 98 steps, 31171 epochs 
episode 356: 2228.277347095692 total reward, 101 steps, 31272 epochs 
episode 357: 3196.896541249777 total reward, 101 steps, 31373 epochs 
episode 358: 564.0559040123815 total reward, 101 steps, 31474 epochs 
episode 359: -221.78227562408563 total reward, 74 steps, 31548 epochs 
episode 360: 820.9596829570158 total reward, 101 steps, 31649 epochs 
episode 361: 1215.1278823131618 total reward, 101 steps, 31750 epochs 
episode 362: 2257.9368768494214 total reward, 101 steps, 31851 epochs 
