episode 36885: 35928.29027737007 total reward, 29 steps, 7692 epochs 
episode 36886: 31292.030614017367 total reward, 2 steps, 7694 epochs 
episode 36887: -26330.825381356564 total reward, 78 steps, 7772 epochs 
episode 36888: -6563.241925112099 total reward, 86 steps, 7858 epochs 
episode 36889: -13235.270194942292 total reward, 87 steps, 7945 epochs 
episode 36890: -7715.168028228694 total reward, 94 steps, 8039 epochs 
episode 36891: 38443.46425370496 total reward, 36 steps, 8075 epochs 
episode 36892: -10554.712045086479 total reward, 56 steps, 8131 epochs 
episode 36893: -3333.4979567710243 total reward, 65 steps, 8196 epochs 
episode 36894: -24354.82877997678 total reward, 96 steps, 8292 epochs 
episode 36895: -9775.786422813517 total reward, 33 steps, 8325 epochs 
episode 36896: -34177.562785413196 total reward, 85 steps, 8410 epochs 
episode 36897: -23247.265262284465 total reward, 72 steps, 8482 epochs 
episode 36898: -24692.60225318956 total reward, 72 steps, 8554 epochs 
episode 36899: -10110.668490559448 total reward, 43 steps, 8597 epochs 
episode 36900: -28478.335699003328 total reward, 75 steps, 8672 epochs 
episode 36901: -18603.951573951133 total reward, 86 steps, 8758 epochs 
episode 36902: -25986.84297336251 total reward, 84 steps, 8842 epochs 
episode 36903: 39512.1106397773 total reward, 42 steps, 8884 epochs 
episode 36904: -20457.044459579127 total reward, 98 steps, 8982 epochs 
episode 36905: -7460.2858799524265 total reward, 60 steps, 9042 epochs 
episode 36906: 1651.320450023216 total reward, 57 steps, 9099 epochs 
episode 36907: 47996.97959051086 total reward, 51 steps, 9150 epochs 
episode 36908: -12570.606321785901 total reward, 50 steps, 9200 epochs 
episode 36909: 35904.620465805696 total reward, 20 steps, 9220 epochs 
episode 36910: -25684.439891997532 total reward, 75 steps, 9295 epochs 
episode 36911: -26383.20431396673 total reward, 80 steps, 9375 epochs 
episode 36912: 37040.107404047216 total reward, 16 steps, 9391 epochs 
episode 36913: -22406.10215636932 total reward, 76 steps, 9467 epochs 
episode 36914: -32969.82091152214 total reward, 98 steps, 9565 epochs 
episode 36915: 31167.132607987536 total reward, 1 steps, 9566 epochs 
episode 36916: -25100.170494483373 total reward, 81 steps, 9647 epochs 
episode 36917: -8887.725758034732 total reward, 36 steps, 9683 epochs 
episode 36918: 34081.593617133505 total reward, 13 steps, 9696 epochs 
episode 36919: -10737.537359402579 total reward, 41 steps, 9737 epochs 
episode 36920: 38413.13251213538 total reward, 54 steps, 9791 epochs 
episode 36921: -5394.410343408532 total reward, 99 steps, 9890 epochs 
episode 36922: -6285.360554862441 total reward, 53 steps, 9943 epochs 
episode 36923: 39883.046275641806 total reward, 78 steps, 10021 epochs 
episode 36924: -24838.27092672306 total reward, 86 steps, 10107 epochs 
episode 36925: -35155.92513515926 total reward, 87 steps, 10194 epochs 
episode 36926: -17247.49672881487 total reward, 91 steps, 10285 epochs 
episode 36927: -12800.82820610256 total reward, 67 steps, 10352 epochs 
episode 36928: -13536.241384627956 total reward, 82 steps, 10434 epochs 
episode 36929: -21918.623015259178 total reward, 84 steps, 10518 epochs 
episode 36930: -10004.761369562224 total reward, 46 steps, 10564 epochs 
episode 36931: 35908.076699105026 total reward, 21 steps, 10585 epochs 
episode 36932: 31942.615127434 total reward, 15 steps, 10600 epochs 
episode 36933: -20566.852625715474 total reward, 83 steps, 10683 epochs 
episode 36934: -37371.370150630086 total reward, 68 steps, 10751 epochs 
episode 36935: 35168.24027833691 total reward, 23 steps, 10774 epochs 
episode 36936: -8690.709733387672 total reward, 21 steps, 10795 epochs 
episode 36937: -20943.456478028456 total reward, 78 steps, 10873 epochs 
episode 36938: 36511.97940898346 total reward, 18 steps, 10891 epochs 
episode 36939: 37119.672358628515 total reward, 60 steps, 10951 epochs 
episode 36940: 35633.951776397844 total reward, 45 steps, 10996 epochs 
episode 36941: -8129.395053776562 total reward, 60 steps, 11056 epochs 
episode 36942: -15280.867185864332 total reward, 89 steps, 11145 epochs 
episode 36943: -21888.722601921865 total reward, 70 steps, 11215 epochs 
episode 36944: -12438.219449241791 total reward, 50 steps, 11265 epochs 
episode 36945: -9816.79822754734 total reward, 68 steps, 11333 epochs 
episode 36946: -10404.624430727146 total reward, 57 steps, 11390 epochs 
episode 36947: 31703.06156117855 total reward, 2 steps, 11392 epochs 
episode 36948: 35367.92733077241 total reward, 36 steps, 11428 epochs 
episode 36949: -9356.072809337791 total reward, 46 steps, 11474 epochs 
episode 36950: -19755.40854483484 total reward, 75 steps, 11549 epochs 
episode 36951: -1603.4554971170228 total reward, 42 steps, 11591 epochs 
episode 36952: -14999.429780051652 total reward, 76 steps, 11667 epochs 
episode 36953: 31980.548472318544 total reward, 26 steps, 11693 epochs 
episode 36954: 34912.91743938043 total reward, 6 steps, 11699 epochs 
episode 36955: -8611.306717351963 total reward, 50 steps, 11749 epochs 
episode 36956: -10557.132264872327 total reward, 61 steps, 11810 epochs 
episode 36957: -21549.658009802733 total reward, 68 steps, 11878 epochs 
episode 36958: -8316.640920391194 total reward, 31 steps, 11909 epochs 
episode 36959: -8504.742984204886 total reward, 55 steps, 11964 epochs 
episode 36960: -8946.58249837373 total reward, 28 steps, 11992 epochs 
episode 36961: -12537.818698999332 total reward, 66 steps, 12058 epochs 
episode 36962: -619.3316248902715 total reward, 49 steps, 12107 epochs 
episode 36963: -9769.512872808173 total reward, 29 steps, 12136 epochs 
episode 36964: 37301.38911303358 total reward, 45 steps, 12181 epochs 
episode 36965: 38476.096509101364 total reward, 48 steps, 12229 epochs 
episode 36966: -11953.438378196433 total reward, 49 steps, 12278 epochs 
episode 36967: -3193.2631628340196 total reward, 84 steps, 12362 epochs 
episode 36968: 39918.62576316179 total reward, 28 steps, 12390 epochs 
episode 36969: 32162.46048577906 total reward, 9 steps, 12399 epochs 
episode 36970: 6818.652414388266 total reward, 48 steps, 12447 epochs 
episode 36971: -2388.641397022314 total reward, 91 steps, 12538 epochs 
episode 36972: -3563.121062641838 total reward, 60 steps, 12598 epochs 
episode 36973: -11238.59976827496 total reward, 71 steps, 12669 epochs 
episode 36974: -8498.95661208246 total reward, 39 steps, 12708 epochs 
episode 36975: -10457.70305095827 total reward, 41 steps, 12749 epochs 
episode 36976: 42512.90828181687 total reward, 52 steps, 12801 epochs 
episode 36977: -8828.780998426748 total reward, 38 steps, 12839 epochs 
episode 36978: -4759.291349909352 total reward, 51 steps, 12890 epochs 
episode 36979: -22574.75921823916 total reward, 72 steps, 12962 epochs 
episode 36980: 42544.842543512714 total reward, 74 steps, 13036 epochs 
episode 36981: 34808.82261699316 total reward, 28 steps, 13064 epochs 
episode 36982: 7275.882101863475 total reward, 45 steps, 13109 epochs 
episode 36983: -10795.347407487505 total reward, 67 steps, 13176 epochs 
episode 36984: -9131.177343637188 total reward, 36 steps, 13212 epochs 
episode 36985: 41092.84416531281 total reward, 45 steps, 13257 epochs 
episode 36986: -8895.107118376429 total reward, 22 steps, 13279 epochs 
episode 36987: -21080.38097191298 total reward, 91 steps, 13370 epochs 
episode 36988: 34349.39541689403 total reward, 23 steps, 13393 epochs 
episode 36989: 44136.14196286714 total reward, 69 steps, 13462 epochs 
episode 36990: -7383.197246348698 total reward, 32 steps, 13494 epochs 
episode 36991: 40636.74381996042 total reward, 58 steps, 13552 epochs 
episode 36992: -6387.796743721904 total reward, 71 steps, 13623 epochs 
episode 36993: -5491.368297377927 total reward, 51 steps, 13674 epochs 
episode 36994: 43829.30407347821 total reward, 43 steps, 13717 epochs 
episode 36995: -9343.651176439425 total reward, 38 steps, 13755 epochs 
episode 36996: 38277.13877643905 total reward, 40 steps, 13795 epochs 
episode 36997: -9269.693509057499 total reward, 44 steps, 13839 epochs 
episode 36998: 37591.63724324721 total reward, 69 steps, 13908 epochs 
episode 36999: 39330.56607959104 total reward, 61 steps, 13969 epochs 
episode 37000: 36912.91457492989 total reward, 46 steps, 14015 epochs 
episode 37001: 43345.947834327875 total reward, 69 steps, 14084 epochs 
episode 37002: -27047.03465544173 total reward, 91 steps, 14175 epochs 
episode 37003: -9236.959430177576 total reward, 29 steps, 14204 epochs 
episode 37004: -9675.81715031513 total reward, 32 steps, 14236 epochs 
episode 37005: -8409.301922142402 total reward, 63 steps, 14299 epochs 
episode 37006: 35639.456495060695 total reward, 40 steps, 14339 epochs 
episode 37007: 41547.54443742188 total reward, 47 steps, 14386 epochs 
episode 37008: 48184.60484073522 total reward, 70 steps, 14456 epochs 
episode 37009: 39971.1158216677 total reward, 66 steps, 14522 epochs 
episode 37010: -8126.43463788336 total reward, 50 steps, 14572 epochs 
episode 37011: -11641.188282925454 total reward, 71 steps, 14643 epochs 
episode 37012: 41239.700832864604 total reward, 68 steps, 14711 epochs 
episode 37013: -30522.08364597137 total reward, 73 steps, 14784 epochs 
episode 37014: 40614.97289267512 total reward, 65 steps, 14849 epochs 
episode 37015: 37788.00072549564 total reward, 16 steps, 14865 epochs 
episode 37016: -3865.052980398477 total reward, 51 steps, 14916 epochs 
episode 37017: 35680.865221874294 total reward, 18 steps, 14934 epochs 
episode 37018: -30158.182450380584 total reward, 85 steps, 15019 epochs 
episode 37019: 36721.915946685294 total reward, 30 steps, 15049 epochs 
episode 37020: 40220.10074875213 total reward, 49 steps, 15098 epochs 
episode 37021: 32575.852041306927 total reward, 17 steps, 15115 epochs 
episode 37022: 39187.97831850205 total reward, 45 steps, 15160 epochs 
episode 37023: 38613.68273069199 total reward, 41 steps, 15201 epochs 
episode 37024: -894.7728331124122 total reward, 50 steps, 15251 epochs 
episode 37025: -38849.52288123357 total reward, 78 steps, 15329 epochs 
episode 37026: -9233.047965084288 total reward, 70 steps, 15399 epochs 
episode 37027: 49156.35843856668 total reward, 62 steps, 15461 epochs 
episode 37028: 33797.22556087061 total reward, 13 steps, 15474 epochs 
episode 37029: -9571.015644985031 total reward, 34 steps, 15508 epochs 
episode 37030: -4319.672544032404 total reward, 87 steps, 15595 epochs 
episode 37031: -9809.308264946532 total reward, 34 steps, 15629 epochs 
episode 37032: 40547.36466549228 total reward, 59 steps, 15688 epochs 
episode 37033: -10535.061034939437 total reward, 40 steps, 15728 epochs 
episode 37034: 38013.1928353652 total reward, 31 steps, 15759 epochs 
episode 37035: -8257.960969049613 total reward, 25 steps, 15784 epochs 
episode 37036: 472.292989676424 total reward, 44 steps, 15828 epochs 
episode 37037: -26761.57340723367 total reward, 89 steps, 15917 epochs 
episode 37038: 30635.193570533345 total reward, 1 steps, 15918 epochs 
episode 37039: 41038.90270098855 total reward, 44 steps, 15962 epochs 
episode 37040: -11022.876074813004 total reward, 43 steps, 16005 epochs 
episode 37041: 33609.96224713075 total reward, 33 steps, 16038 epochs 
episode 37042: 36353.95216093899 total reward, 35 steps, 16073 epochs 
episode 37043: 34988.12669762645 total reward, 35 steps, 16108 epochs 
episode 37044: 39878.20948382705 total reward, 42 steps, 16150 epochs 
episode 37045: -29773.82280567777 total reward, 69 steps, 16219 epochs 
episode 37046: -1823.1455319393797 total reward, 32 steps, 16251 epochs 
episode 37047: -24417.2308988666 total reward, 87 steps, 16338 epochs 
episode 37048: 39641.41236267538 total reward, 40 steps, 16378 epochs 
episode 37049: 36195.4747821106 total reward, 48 steps, 16426 epochs 
episode 37050: 35245.5252719839 total reward, 29 steps, 16455 epochs 
episode 37051: 37913.233151564644 total reward, 27 steps, 16482 epochs 
episode 37052: 36103.223487891584 total reward, 43 steps, 16525 epochs 
episode 37053: 32795.77224780851 total reward, 39 steps, 16564 epochs 
episode 37054: -19488.486354431152 total reward, 85 steps, 16649 epochs 
episode 37055: 37110.222977662714 total reward, 25 steps, 16674 epochs 
episode 37056: -33194.164115742395 total reward, 87 steps, 16761 epochs 
episode 37057: -31335.47470562722 total reward, 68 steps, 16829 epochs 
episode 37058: -10966.511236328113 total reward, 36 steps, 16865 epochs 
episode 37059: -22318.235513870768 total reward, 75 steps, 16940 epochs 
episode 37060: -16567.34990762978 total reward, 78 steps, 17018 epochs 
episode 37061: -27114.73374688414 total reward, 85 steps, 17103 epochs 
episode 37062: 11868.982601964815 total reward, 88 steps, 17191 epochs 
episode 37063: -27473.93150310944 total reward, 70 steps, 17261 epochs 
episode 37064: 7104.64081245323 total reward, 65 steps, 17326 epochs 
episode 37065: -9886.025211429345 total reward, 38 steps, 17364 epochs 
episode 37066: -1834.5487626773363 total reward, 36 steps, 17400 epochs 
episode 37067: -2627.6841851621157 total reward, 47 steps, 17447 epochs 
episode 37068: -9272.657889657641 total reward, 28 steps, 17475 epochs 
episode 37069: -10296.120430148443 total reward, 55 steps, 17530 epochs 
episode 37070: -3427.080884870714 total reward, 48 steps, 17578 epochs 
episode 37071: 33654.02404580404 total reward, 12 steps, 17590 epochs 
episode 37072: 34955.19671424181 total reward, 16 steps, 17606 epochs 
episode 37073: -24483.5844813706 total reward, 74 steps, 17680 epochs 
episode 37074: -6650.144354615364 total reward, 68 steps, 17748 epochs 
episode 37075: -21683.614119315025 total reward, 68 steps, 17816 epochs 
episode 37076: -6636.277225725176 total reward, 73 steps, 17889 epochs 
episode 37077: -9018.55524407977 total reward, 19 steps, 17908 epochs 
episode 37078: 40384.51161222289 total reward, 46 steps, 17954 epochs 
episode 37079: -6363.126916780377 total reward, 71 steps, 18025 epochs 
episode 37080: -15733.524689472692 total reward, 91 steps, 18116 epochs 
episode 37081: 36609.452101631265 total reward, 25 steps, 18141 epochs 
episode 37082: -21252.76116738277 total reward, 69 steps, 18210 epochs 
episode 37083: 36606.56461164757 total reward, 24 steps, 18234 epochs 
episode 37084: 37141.5295824943 total reward, 22 steps, 18256 epochs 
episode 37085: -32222.087903423213 total reward, 74 steps, 18330 epochs 
episode 37086: 33088.035738894876 total reward, 18 steps, 18348 epochs 
episode 37087: 34269.66985762729 total reward, 17 steps, 18365 epochs 
episode 37088: -33966.17897370974 total reward, 77 steps, 18442 epochs 
episode 37089: 36477.87596379099 total reward, 9 steps, 18451 epochs 
episode 37090: -14288.514805151883 total reward, 68 steps, 18519 epochs 
episode 37091: 36446.40513106332 total reward, 33 steps, 18552 epochs 
episode 37092: -8606.289569357356 total reward, 71 steps, 18623 epochs 
episode 37093: -8689.508264866083 total reward, 80 steps, 18703 epochs 
episode 37094: -10304.733799493755 total reward, 29 steps, 18732 epochs 
episode 37095: 43505.63359159501 total reward, 57 steps, 18789 epochs 
episode 37096: -4522.596805771093 total reward, 42 steps, 18831 epochs 
episode 37097: -9448.658692643403 total reward, 42 steps, 18873 epochs 
episode 37098: -36640.67490314705 total reward, 69 steps, 18942 epochs 
episode 37099: 37485.261708895094 total reward, 20 steps, 18962 epochs 
episode 37100: 43730.80952129207 total reward, 38 steps, 19000 epochs 
episode 37101: -11042.962892010979 total reward, 54 steps, 19054 epochs 
episode 37102: -11334.104418890209 total reward, 53 steps, 19107 epochs 
episode 37103: 40301.20686716745 total reward, 45 steps, 19152 epochs 
episode 37104: 38398.70712632363 total reward, 43 steps, 19195 epochs 
episode 37105: 33659.216733309746 total reward, 13 steps, 19208 epochs 
episode 37106: -26707.12184622331 total reward, 93 steps, 19301 epochs 
episode 37107: 37195.116804704725 total reward, 28 steps, 19329 epochs 
episode 37108: 35642.543859407524 total reward, 25 steps, 19354 epochs 
episode 37109: -10415.56344391022 total reward, 80 steps, 19434 epochs 
episode 37110: 37642.84804708411 total reward, 31 steps, 19465 epochs 
episode 37111: 38891.636582659376 total reward, 32 steps, 19497 epochs 
